X,Y,OBJECTID,Address,Notes,AP_Name,Neighborhood
-71.07672951355336,42.3268760967687,4809,"339 Dudley St., Roxbury, MA",need location verification,ROX-VINE-AP1,Roxbury
-71.076578958606689,42.326787484060127,4810,"339 Dudley St., Roxbury, MA",need location verification,ROX-VINE-AP2,Roxbury
-71.077505825045492,42.327749463056691,4811,"Adams St. & Dudley St., Roxbury, MA",need location verification,ROX-VINE-AP5,Roxbury
-71.075355108236664,42.326089875031897,4812,"Dunmore St. & Dudley St., Roxbury, MA",need location verification,ROX-VINE-AP4,Roxbury
-71.086951665953549,42.322746237332076,5207,"Rockland St., Roxbury, MA",need address verification,ROX-SHELBOURNE-AP3,Roxbury
-71.075691806686621,42.318213401558701,5210,"35 Brookford St., Roxbury, MA",need location verification,ROX-WINTHROP-AP1,Roxbury
-71.075580853969228,42.318141950329498,5211,"35 Brookford St., Roxbury, MA",need location verification,ROX-WINTHROP-AP2,Roxbury
-71.077792004938814,42.319726385038948,5213,"Waverly St. & Blue Hill Ave., Roxbury, MA",need location verification,ROX-WINTHROP-AP5,Roxbury
-71.083923213365452,42.31600821597219,5214,"205 Townsend St., Roxbury, MA",need location verification,ROX-BLA-AP2,Roxbury
-71.086560167576323,42.317016929170293,5215,"Townsend St. & Humboldt Ave., Roxbury, MA",need location verification,ROX-BLA-AP3,Roxbury
-71.089463794764114,42.313235811421322,5217,"Crawford St. & Waumbeck St., Roxbury, MA",need location verification,ROX-TROTTER-AP3,Roxbury
-71.085963520937653,42.311659224735216,5218,"Elm Hill Ave. & Crawford St., Roxbury, MA",need location verification,ROX-BLA-AP4,Roxbury
-71.079467076381135,42.313649440011204,5220,"Holborn St. & Blue Hill Ave., Roxbury, MA",need location verification,ROX-MLKSCHOOL-AP6,Roxbury
-71.080604234834666,42.311932378526272,5221,"Intervale St. & Blue Hill Ave., Roxbury, MA",need location verification,ROX-MLKSCHOOL-AP5,Roxbury
-71.097204458091468,42.315379868047906,5224,"1990 Columbus Ave., Roxbury, MA",need location verification,ROX-EGLESTON-AP3,Roxbury
-71.094545256204242,42.320345144243134,5229,"2875 Washington St., Roxbury, MA",need location verification,ROX-COUNCIL-AP2,Roxbury
-71.094740160078189,42.320465052789785,5230,"2875 Washington St., Roxbury, MA",need location verification,ROX-COUNCIL-AP1,Roxbury
-71.09194751076059,42.321692432271014,5231,"Washington St. & Valentine St., Roxbury, MA",need location verification,ROX-COUNCIL-AP3,Roxbury
-71.090288143666072,42.322221524176882,5232,"2730 Washington St., Roxbury, MA",need location verification,ROX-SHELBOURNE-AP2,Roxbury
-71.055737805063259,42.360215260841876,5233,"Faneuil Hall Square, Boston, MA","need photo, N Market closest to city hall",DT-QUINCYMARKET-AP1,Downtown
-71.054009370998131,42.360410113641507,5234,"Faneuil Hall Square, Boston, MA","need photo, N Market furthest from city hall",DT-QUINCYMARKET-AP2,Downtown
-71.055120616648992,42.359894810614762,5235,"Faneuil Hall Square, Boston, MA","need photo,S Market closest to city hall",DT-QUINCYMARKET-AP4,Downtown
-71.057582440701964,42.360643400133426,5236,"1 City Hall Square, Boston, MA","need photo, left side facing Faneuil Hall",DT-CITYHALL-AP2,Downtown
-71.058392621375248,42.360136494598358,5237,"1 City Hall Square, Boston, MA","need photo, left side facing plaza",DT-CITYHALL-AP4,Downtown
-71.074396038991566,42.310630453857904,5623,"Lawrence Ave. & Magnolia St., Roxbury, MA",need location verification,ROX-MLKSCHOOL-AP7,Roxbury
-71.090211269437305,42.322686437026633,5626,"2730 Washington St., Roxbury, MA",need address verification,ROX-SHELBOURNE-AP1,Roxbury
-71.052762745640692,42.360909483743647,5627,"Cross St. & Atlantic St., Boston, MA",,CP-GREENWAY-AP1,
-71.124352768584643,42.256383884618394,6027,"1249 Hyde Park Ave., Hyde Park, MA",need photo,HP-BPDE18-AP4,Hyde Park
-71.125758289746173,42.288646178720718,6427,"Firth St. & Washington St., Roslindale, MA",need location verification & photo,ROS-COMMUNITY-AP3,Roslindale
-71.136181641413799,42.353801909560758,7230,"460 Cambridge St., Allston, MA",need address verification & photo,AB-BFDE41-AP1,Allston Brighton
-71.137549122516305,42.352249616717096,7630,"40 Armington St., Allston, MA",need address verification & photo,AB-JACKSON-AP1,Allston Brighton
-71.168175283089852,42.351224568700495,8030,"425 Faneuil St., Brighton, MA",need address verification & photo,AB-OAKSQUARE-AP1,Allston Brighton
-71.037989151292749,42.369848347655832,8031,"154 Maverick St., East Boston",need photo,EB-154MAVERICK-AP1,East Boston
-71.038410259040049,42.371069027933778,8032,"69 Paris St., East Boston MA",need photo,EB-BPDA7-AP2,East Boston
-71.060869440106941,42.38021110103665,8430,"240 Medford St., Charlestown, MA",need address verification & photo,CHL-HIGHSCHOOL-AP1,Charlestown
