X,Y,gid,Name,description,OBJECTID,SITE_NAME,OWNERSHIP,PROTECTION,TYPECODE,DISTRICT,ACRES,ADDRESS,ZonAgg,TypeLong,OS_Own_Jur,OS_Mngmnt,POS,PA,ALT_NAME,AgncyJuris,Shape_STArea__,Shape_STLength__,ShapeSTArea,ShapeSTLength,PARK_ID,REGION
-71.1551832196799,42.2638071673518,622,,,8446,Beethoven School Play Area,City of Boston,A97,3,West Roxbury,0.52,,Residential District,"Parks, Playgrounds & Athletic Fields",BPRD,,X,X,,,0,0,22852.0168457031,762.397366019832,020,PARK_Maintenance_Region 4
-71.0729784742304,42.2977438520432,623,,,8447,Algonquin Square,City of Boston,A97,1,Dorchester,0.04,,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,,0,0,1694.43994140625,215.769327871992,003,INFO_Reallocation From Dept
-71.0986911763616,42.3157398942338,624,,,8448,Egleston Plaza I,City of Boston,A97,1,Roxbury,0.12,,Commercial/Office/Business District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,,BPRD,0,0,5319.01489257812,466.719467056178,102,PARK_Maintenance_Region 3
-71.0984100996906,42.3159552101101,625,,,8449,Egleston Plaza II,City of Boston,,1,Roxbury,0.01,,Commercial/Office/Business District,"Malls, Squares & Plazas",NULL,PWD,N,X,,PWD,0,0,501.138427734375,175.785942730781,,INFO_Reallocation From Dept
-71.0970031722097,42.2758268698133,626,,,8450,Hunt Playground II,City of Boston,,3,Mattapan,0.15,,Open Space & Residential Districts,"Parks, Playgrounds & Athletic Fields",NULL,BPRD,N,X,Almont Park II,PWD,0,0,8118.84326171875,598.070865460146,,PARK_Maintenance_Ground Maintenance
-71.0997845159659,42.3145780929265,627,,,8451,Egleston Square Peace Garden,Private,,5,Roxbury,0.12,,Commercial/Office/Business District,Community Gardens,NULL,,N,X,,,0,0,5095.736328125,296.033116300954,,INFO_Reallocation From Dept
-71.0339157617227,42.3648784111204,628,,,8452,Golden Stairs Terrace Park II,City of Boston,,1,East Boston,0.07,,Residential District,"Malls, Squares & Plazas",NULL,,N,X,Golden Stairs,,0,0,3304.8291015625,536.673103887589,,PARK_Maintenance_Ground Maintenance
-71.1180835563039,42.2641312059877,629,,,8453,Foley Square,City of Boston,A97,1,Hyde Park,0.14,Greenwood Avenue & Metropolitan Avenue,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,"Lt. Robert M. Foley Square; Greenwood Squre",BPRD,0,0,6128.65893554688,304.633897510425,138,INFO_Reallocation From Dept
-71.1136963321365,42.2525240608515,630,,,8454,Jones Square,City of Boston,A97,1,Hyde Park,0.04,Highland Street & Milton Street,Residential District,"Malls, Squares & Plazas",BPRD,BPRD,X,X,Lt. Parker B. Jones Square,BPRD,0,0,1875.79931640625,216.054282966629,340,PARK_Maintenance_Region 4
-71.0696122853258,42.385762675665,631,,,8455,Schraffts Centre Harborwalk,Private,Ch91/WPA/100,1,Charlestown,1.01,529-543 Main Street,Industrial District,"Malls, Squares & Plazas",NULL,,N,X,,,0,0,43910.9719238281,2753.05119378007,,INFO_Reallocation From Dept
-71.1317105821693,42.2932545316982,632,,,8456,Roslindale Wetlands Urban Wild I,City of Boston,A97/WPA,6,Roslindale,8.05,Adjacent to 43 Hazelmere Rd,Open Space District,Urban Wilds & Natural Areas,BCC,BPRD,X,X,,,0,0,350675.230224609,5537.06277829075,,PARK_Maintenance_Ground Maintenance
-71.1313808838221,42.2939424510508,633,,,8457,Roslindale Wetlands Urban Wild II,Private,WPA/100,6,Roslindale,2.45,Near 23 Coniston Rd,Conservation Protection Subdistrict,Urban Wilds & Natural Areas,NULL,,N,,,,0,0,106735.7734375,3708.53265555833,,INFO_Reallocation From Dept
